"L1 Code","L1 Name","L2 Code","L2 Name","L3 Code","L3 Name","L4 Name","L4 Description","Concat (Label)","Concat (Path)"
"03 00 00","Studies","03 02 00","","03 02 02","År 2 | (2010-2011)","","","03 Studies/02 År 2 | (2010-2011)","03 02 02 År 2 | (2010-2011)"
"03 00 00","Studies","03 02 00","","03 02 03","År 3 | (2011-2012)","","","03 Studies/03 År 3 | (2011-2012)","03 02 03 År 3 | (2011-2012)"
"03 00 00","Studies","03 02 00","","03 02 04","År 4 | (2012, 2014)","","","03 Studies/04 År 4 | (2012, 2014)","03 02 04 År 4 | (2012, 2014)"
"03 00 00","Studies","03 02 00","","03 02 05","År 5 | (2014-2015)","","","03 Studies/05 År 5 | (2014-2015)","03 02 05 År 5 | (2014-2015)"
"01 00 00","Private","01 01 00","Personal Admin","01 01 99","Archive","","","01 Private/01 Personal Admin/99 Archive","01 01 99 Archive"
"01 00 00","Private","01 02 00","Health","01 02 99","Archive","","","01 Private/02 Health/99 Archive","01 02 99 Archive"
"01 00 00","Private","01 03 00","Personal Growth","01 03 99","Archive","","","01 Private/03 Personal Growth/99 Archive","01 03 99 Archive"
"01 00 00","Private","01 04 00","Finances","01 04 99","Archive","","","01 Private/04 Finances/99 Archive","01 04 99 Archive"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","","","01 Private/05 Other/99 Archive","01 05 99 Archive"
"02 00 00","Work","02 01 00","Employment","02 01 99","Archive","","","02 Work/01 Employment/99 Archive","02 01 99 Archive"
"03 00 00","Studies","03 00 00","","03 00 99","Studies Archive","","","03 Studies/99 Studies Archive","03 00 99 Studies Archive"
"01 00 00","Private","01 01 00","Personal Admin","01 01 01","Task Management","Productivity Frameworks","Methodologies, templates, and systems for task execution.","01 Private/01 Personal Admin/01 Task Management/Productivity Frameworks","01 01 01 Task Management > Productivity Frameworks"
"01 00 00","Private","01 01 00","Personal Admin","01 01 01","Task Management","The System (TS)","LOS maintenance, architecture, and prompt engineering.","01 Private/01 Personal Admin/01 Task Management/The System (TS)","01 01 01 Task Management > The System (TS)"
"01 00 00","Private","01 01 00","Personal Admin","01 01 02","Contracts","Signature","Active documents pending signature or recently executed.","01 Private/01 Personal Admin/02 Contracts/Signature","01 01 02 Contracts > Signature"
"01 00 00","Private","01 02 00","Health","01 02 01","Physical Health","Medical Appointments & Tests","Ongoing medical appointments, blood tests (BT), and health tracking.","01 Private/02 Health/01 Physical Health/Medical Appointments & Tests","01 02 01 Physical Health > Medical Appointments & Tests"
"01 00 00","Private","01 04 00","Finances","","","Banking","Standard accounts and bank statements.","01 Private/04 Finances/Banking","01 04 00 Finances > Banking"
"01 00 00","Private","01 04 00","Finances","","","Budgeting & Planning","Financial planning, budgets, and subscriptions.","01 Private/04 Finances/Budgeting & Planning","01 04 00 Finances > Budgeting & Planning"
"01 00 00","Private","01 04 00","Finances","","","Crypto","Cryptocurrency holdings.","01 Private/04 Finances/Crypto","01 04 00 Finances > Crypto"
"01 00 00","Private","01 04 00","Finances","","","Insurance","Policies and claims.","01 Private/04 Finances/Insurance","01 04 00 Finances > Insurance"
"01 00 00","Private","01 04 00","Finances","","","Investing","General investment documents (Broad context).","01 Private/04 Finances/Investing","01 04 00 Finances > Investing"
"01 00 00","Private","01 04 00","Finances","","","Payslips","Income records.","01 Private/04 Finances/Payslips","01 04 00 Finances > Payslips"
"01 00 00","Private","01 04 00","Finances","","","Pension","Long-term savings.","01 Private/04 Finances/Pension","01 04 00 Finances > Pension"
"01 00 00","Private","01 04 00","Finances","","","Revolut Equity","Revolut shareholdings.","01 Private/04 Finances/Revolut Equity","01 04 00 Finances > Revolut Equity"
"01 00 00","Private","01 04 00","Finances","","","Tax","Returns and correspondence.","01 Private/04 Finances/Tax","01 04 00 Finances > Tax"
"01 00 00","Private","01 04 00","Finances","01 04 01","Purchase","Instructions","Manuals and user guides.","01 Private/04 Finances/01 Purchase/Instructions","01 04 01 Purchase > Instructions"
"01 00 00","Private","01 04 00","Finances","01 04 01","Purchase","Passes & Tickets","Active travel/event documents.","01 Private/04 Finances/01 Purchase/Passes & Tickets","01 04 01 Purchase > Passes & Tickets"
"01 00 00","Private","01 04 00","Finances","01 04 01","Purchase","Receipts","General purchase receipts.","01 Private/04 Finances/01 Purchase/Receipts","01 04 01 Purchase > Receipts"
"01 00 00","Private","01 04 00","Finances","01 04 02","House","SW1V 4QE","Current residence (London).","01 Private/04 Finances/02 House/SW1V 4QE","01 04 02 House > SW1V 4QE"
"01 00 00","Private","01 05 00","Other","01 05 01","Projects","AI","Artificial Intelligence initiatives.","01 Private/05 Other/01 Projects/AI","01 05 01 Projects > AI"
"01 00 00","Private","01 05 00","Other","01 05 01","Projects","20260509 LFC-CFC","**Project: Trip to Liverpool.** Liverpool FC vs Chelsea FC game.","01 Private/05 Other/01 Projects/20260509 LFC-CFC","01 05 01 Projects > 20260509 LFC-CFC"
"01 00 00","Private","01 05 00","Other","01 05 01","Projects","20260510-20260514 Lisbon","**Project: Trip to Lisbon.** May 10-14, 2026.","01 Private/05 Other/01 Projects/20260510-20260514 Lisbon","01 05 01 Projects > 20260510-20260514 Lisbon"
"01 00 00","Private","01 05 00","Other","01 05 01","Projects","202606 P&E","**Project: Wedding for Pontus & Emilia.** June 2026.","01 Private/05 Other/01 Projects/202606 P&E","01 05 01 Projects > 202606 P&E"
"01 00 00","Private","01 05 00","Other","01 05 01","Projects","202608 M&N","**Project: Wedding for Mimmi & Nils.** August 2026.","01 Private/05 Other/01 Projects/202608 M&N","01 05 01 Projects > 202608 M&N"
"01 00 00","Private","01 05 00","Other","01 05 01","Projects","Clothes","Wardrobe management.","01 Private/05 Other/01 Projects/Clothes","01 05 01 Projects > Clothes"
"01 00 00","Private","01 05 00","Other","01 05 01","Projects","Cooking","Recipes and meal planning.","01 Private/05 Other/01 Projects/Cooking","01 05 01 Projects > Cooking"
"01 00 00","Private","01 05 00","Other","01 05 01","Projects","Declutter","Physical/Digital cleanup.","01 Private/05 Other/01 Projects/Declutter","01 05 01 Projects > Declutter"
"01 00 00","Private","01 05 00","Other","01 05 01","Projects","2027 W","**Project: Wedding Celebration.** Wedding party/events (2027).","01 Private/05 Other/01 Projects/2027 W","01 05 01 Projects > 2027 W"
"01 00 00","Private","01 05 00","Other","01 05 01","Projects","202604-202605 Staycation","Project: Staycation/spend quality time with Carry during my gardening leave","01 Private/05 Other/01 Projects/202604-202605 Staycation","01 05 01 Projects > 202604-202605 Staycation"
"01 00 00","Private","01 05 00","Other","01 05 01","Projects","Upgrade Office","Project: Home office setup and improvements.","01 Private/05 Other/01 Projects/Upgrade Office","01 05 01 Projects > Upgrade Office"
"01 00 00","Private","01 05 00","Other","01 05 01","Projects","Colab Notebooks","Active coding/notebook projects.","01 Private/05 Other/01 Projects/Colab Notebooks","01 05 01 Projects > Colab Notebooks"
"01 00 00","Private","01 05 00","Other","01 05 02","Relationships","Alexander & Gabriel","Brothers.","01 Private/05 Other/02 Relationships/Alexander & Gabriel","01 05 02 Relationships > Alexander & Gabriel"
"01 00 00","Private","01 05 00","Other","01 05 02","Relationships","CMA","Carry Martens Adersteg.","01 Private/05 Other/02 Relationships/CMA","01 05 02 Relationships > CMA"
"01 00 00","Private","01 05 00","Other","01 05 02","Relationships","Mamma & Pappa","Parents.","01 Private/05 Other/02 Relationships/Mamma & Pappa","01 05 02 Relationships > Mamma & Pappa"
"01 00 00","Private","01 05 00","Other","01 05 03","Collections","Liverpool FC","Football/Interest.","01 Private/05 Other/03 Collections/Liverpool FC","01 05 03 Collections > Liverpool FC"
"01 00 00","Private","01 05 00","Other","01 05 03","Collections","Star Wars","Collection/Interest.","01 Private/05 Other/03 Collections/Star Wars","01 05 03 Collections > Star Wars"
"01 00 00","Private","01 05 00","Other","01 05 03","Collections","Useful/Helpful","Useful information, tools, software setups, tips and tricks","01 Private/05 Other/03 Collections/Useful/Helpful","01 05 03 Collections > Useful/Helpful"
"01 00 00","Private","01 05 00","Other","01 05 03","Collections","Data","Data exports, backups, and dumps.","01 Private/05 Other/03 Collections/Data","01 05 03 Collections > Data"
"01 00 00","Private","01 05 00","Other","01 05 03","Collections","Memories","Photos, keepsakes, and personal historical data.","01 Private/05 Other/03 Collections/Memories","01 05 03 Collections > Memories"
"01 00 00","Private","01 05 00","Other","01 05 03","Collections","History","Actual world history, historical events, and general reference.","01 Private/05 Other/03 Collections/History","01 05 03 Collections > History"
"01 00 00","Private","01 05 00","Other","01 05 03","Collections","Newsletters","Subscribed newsletters and general reading material.","01 Private/05 Other/03 Collections/Newsletters","01 05 03 Collections > Newsletters"
"02 00 00","Work","02 01 00","Employment","02 01 01","Quantum 21","01 Professional Admin","Work-related admin, IT setup, policies. (Cross-links to Personal Admin).","02 Work/01 Employment/01 Quantum 21/01 Professional Admin","02 01 01 Quantum 21 > 01 Professional Admin"
"02 00 00","Work","02 01 00","Employment","02 01 01","Quantum 21","02 Team & Operations","1-on-1s, team building, internal processes, and company culture.","02 Work/01 Employment/01 Quantum 21/02 Team & Operations","02 01 01 Quantum 21 > 02 Team & Operations"
"02 00 00","Work","02 01 00","Employment","02 01 01","Quantum 21","03 Professional Growth","Upskilling, training, and performance reviews relevant to Q21.","02 Work/01 Employment/01 Quantum 21/03 Professional Growth","02 01 01 Quantum 21 > 03 Professional Growth"
"02 00 00","Work","02 01 00","Employment","02 01 01","Quantum 21","04 Finances","Work-related expenses, benefits, and payslips. (Cross-links to Personal Finance).","02 Work/01 Employment/01 Quantum 21/04 Finances","02 01 01 Quantum 21 > 04 Finances"
"02 00 00","Work","02 01 00","Employment","02 01 01","Quantum 21","05 Projects","Active Q21 work projects (metadata, notes, non-confidential docs).","02 Work/01 Employment/01 Quantum 21/05 Projects","02 01 01 Quantum 21 > 05 Projects"
"02 00 00","Work","02 02 00","Career Management","","","CVs & Cover Letters","Active resumes and application templates.","02 Work/02 Career Management/CVs & Cover Letters","02 02 00 Career Management > CVs & Cover Letters"
"02 00 00","Work","02 02 00","Career Management","","","Grades & Certificates","Proof of employment, transcripts, and certifications.","02 Work/02 Career Management/Grades & Certificates","02 02 00 Career Management > Grades & Certificates"
"02 00 00","Work","02 02 00","Career Management","","","202603 Airwallex","**Active Application:** Job application and interview process.","02 Work/02 Career Management/202603 Airwallex","02 02 00 Career Management > 202603 Airwallex"
"02 00 00","Work","02 02 00","Career Management","","","202604 Deel","**Active Application:** Job application and interview process.","02 Work/02 Career Management/202604 Deel","02 02 00 Career Management > 202604 Deel"
"02 00 00","Work","02 02 00","Career Management","","","202603 OLIX","**Active Application:** Job application and interview process.","02 Work/02 Career Management/202603 OLIX","02 02 00 Career Management > 202603 OLIX"
"02 00 00","Work","02 03 00","Collections","","","Newsletters","Professional and work-related newsletters.","02 Work/03 Collections/Newsletters","02 03 00 Collections > Newsletters"
"01 00 00","Private","01 04 00","Finances","01 04 99","Archive","75006","Residence (Paris).","01 Private/04 Finances/99 Archive/75006","01 04 99 Archive > 75006"
"01 00 00","Private","01 04 00","Finances","01 04 99","Archive","NCS","Nordea Close Services.","01 Private/04 Finances/99 Archive/NCS","01 04 99 Archive > NCS"
"01 00 00","Private","01 04 00","Finances","01 04 99","Archive","202510 M","The Move (To Paris).","01 Private/04 Finances/99 Archive/202510 M","01 04 99 Archive > 202510 M"
"01 00 00","Private","01 04 00","Finances","01 04 99","Archive","W23DY","London Flat (Previous).","01 Private/04 Finances/99 Archive/W23DY","01 04 99 Archive > W23DY"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","2025 W","Wedding & Engagement Dinners.","01 Private/05 Other/99 Archive/2025 W","01 05 99 Archive > 2025 W"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","UKC","UK Citizenship/Visa.","01 Private/05 Other/99 Archive/UKC","01 05 99 Archive > UKC"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","Blackjack","Hobby/Skill development.","01 Private/05 Other/99 Archive/Blackjack","01 05 99 Archive > Blackjack"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","2025 09 Visa","Carry's Visa Application.","01 Private/05 Other/99 Archive/2025 09 Visa","01 05 99 Archive > 2025 09 Visa"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","2025 Xmas","**Project: Christmas 2025.** Gifts, logistics, events, and food planning.","01 Private/05 Other/99 Archive/2025 Xmas","01 05 99 Archive > 2025 Xmas"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","202601 M","The Move (Jan 2026 - Project view).","01 Private/05 Other/99 Archive/202601 M","01 05 99 Archive > 202601 M"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","20260411 Housewarming C&D","Project: Housewarming event planning.","01 Private/05 Other/99 Archive/20260411 Housewarming C&D","01 05 99 Archive > 20260411 Housewarming C&D"
"02 00 00","Work","02 01 00","Employment","02 01 99","Archive","201102 S&P","Historical Employment","02 Work/01 Employment/99 Archive/201102 S&P","02 01 99 Archive > 201102 S&P"
"02 00 00","Work","02 01 00","Employment","02 01 99","Archive","201108 Sveriges Ingenjörer","Historical Employment","02 Work/01 Employment/99 Archive/201108 Sveriges Ingenjörer","02 01 99 Archive > 201108 Sveriges Ingenjörer"
"02 00 00","Work","02 01 00","Employment","02 01 99","Archive","201312 Nova 100","Historical Employment","02 Work/01 Employment/99 Archive/201312 Nova 100","02 01 99 Archive > 201312 Nova 100"
"02 00 00","Work","02 01 00","Employment","02 01 99","Archive","201406 Brooklyn OpCo","Historical Employment","02 Work/01 Employment/99 Archive/201406 Brooklyn OpCo","02 01 99 Archive > 201406 Brooklyn OpCo"
"03 00 00","Studies","03 00 00","","03 00 99","Studies Archive","Stockholms Nation","Historical Studies","03 Studies/99 Studies Archive/Stockholms Nation","03 00 99 Studies Archive > Stockholms Nation"
"03 00 00","Studies","03 00 00","","03 00 99","Studies Archive","Uppsala University","Historical Studies","03 Studies/99 Studies Archive/Uppsala University","03 00 99 Studies Archive > Uppsala University"
"02 00 00","Work","02 01 00","Employment","02 01 99","Archive","201508 Deloitte","Historical Employment","02 Work/01 Employment/99 Archive/201508 Deloitte","02 01 99 Archive > 201508 Deloitte"
"02 00 00","Work","02 01 00","Employment","02 01 99","Archive","201611 Efficio","Historical Employment","02 Work/01 Employment/99 Archive/201611 Efficio","02 01 99 Archive > 201611 Efficio"
"02 00 00","Work","02 01 00","Employment","02 01 99","Archive","201908 Inverto","Historical Employment","02 Work/01 Employment/99 Archive/201908 Inverto","02 01 99 Archive > 201908 Inverto"
"02 00 00","Work","02 01 00","Employment","02 01 99","Archive","201911 Revolut","Historical Employment","02 Work/01 Employment/99 Archive/201911 Revolut","02 01 99 Archive > 201911 Revolut"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","20200605-20200608 Lisbon","Historical Project","01 Private/05 Other/99 Archive/20200605-20200608 Lisbon","01 05 99 Archive > 20200605-20200608 Lisbon"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","20200611 Nice","Historical Project","01 Private/05 Other/99 Archive/20200611 Nice","01 05 99 Archive > 20200611 Nice"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","20200730-20200809 Tokyo","Historical Project","01 Private/05 Other/99 Archive/20200730-20200809 Tokyo","01 05 99 Archive > 20200730-20200809 Tokyo"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","20200812-20200816 - Stockholm","Historical Project","01 Private/05 Other/99 Archive/20200812-20200816 - Stockholm","01 05 99 Archive > 20200812-20200816 - Stockholm"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","20200829-20200902 Mykonos","Historical Project","01 Private/05 Other/99 Archive/20200829-20200902 Mykonos","01 05 99 Archive > 20200829-20200902 Mykonos"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","20200925-20200927 D&L 30th","Historical Project","01 Private/05 Other/99 Archive/20200925-20200927 D&L 30th","01 05 99 Archive > 20200925-20200927 D&L 30th"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","20210708 Bröllop","Historical Project","01 Private/05 Other/99 Archive/20210708 Bröllop","01 05 99 Archive > 20210708 Bröllop"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","20220610-20220610 R & H","Historical Project","01 Private/05 Other/99 Archive/20220610-20220610 R & H","01 05 99 Archive > 20220610-20220610 R & H"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","Alex","Historical Project","01 Private/05 Other/99 Archive/Alex","01 05 99 Archive > Alex"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","Amy","Historical Project","01 Private/05 Other/99 Archive/Amy","01 05 99 Archive > Amy"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","Daff","Historical Project","01 Private/05 Other/99 Archive/Daff","01 05 99 Archive > Daff"
"01 00 00","Private","01 05 00","Other","01 05 99","Archive","Körkort","Historical Project","01 Private/05 Other/99 Archive/Körkort","01 05 99 Archive > Körkort"
"00 00 00","System","","","","","00 Manual Review","Items that the automated pipelines could not confidently categorize and require human intervention.","00 Manual Review","00 Manual Review"
"00 00 00","System","","","","","00 No Filter","Raw incoming items that intentionally bypass standard automated filtering rules.","00 No Filter","00 No Filter"
"00 00 00","System","","","","","00 Test","Safe sandbox label used for testing automations, scripts, and Gem workflows without affecting real data.","00 Test","00 Test"
"00 00 00","System","","","","","99 Google Comments","Automated notifications from Google Docs/Drive that require a quick read but no permanent storage.","99 Google Comments","99 Google Comments"
"00 00 00","System","","","","","99 Label_Reviewed","A vital system flag applied by the Apps Scripts to indicate an item has been successfully processed and should not be analyzed again in the next batch.","99 Label_Reviewed","99 Label_Reviewed"
"00 00 00","System","","","","","99 SMS","Funnel endpoint for incoming routed SMS messages awaiting processing or task extraction.","99 SMS","99 SMS"
"00 00 00","System","","","","","99 Telegram","Funnel endpoint for incoming routed Telegram messages awaiting processing or task extraction.","99 Telegram","99 Telegram"
"00 00 00","System","","","","","99 WhatsApp","Funnel endpoint for incoming routed WhatsApp messages awaiting processing or task extraction.","99 WhatsApp","99 WhatsApp"
"00 00 00","System","","","","","99 To be deleted","Temporary storage and the purge queue. Items that are needed briefly or marked for the next automated/manual trash cycle.","99 To be deleted","99 To be deleted"
